soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,504,0.0,25595.422284373024,8048.017454203422,163.63961030678928,2.0
C2003,504,0.0,22539.088373338505,3632.3569234861016,62.21320343559643,0.0
C2609,498,0.0,22287.48115887607,5763.083112443905,158.1543289325507,1.0
C2803,507,0.0,26370.608142598154,5908.798841196443,102.01219330881976,1.0
C5608,496,0.0,19613.027914408685,7829.9636303342595,251.06601717798213,6.242640687119285
C6405,490,0.0,19520.69486992595,6767.822361262306,142.05382386916236,0.0
S1510,500,0.0,17824.47870789752,6104.658797613765,221.4386001800126,8.65685424949238
S1919,502,0.0,26173.01766446414,5395.455695445935,103.35533905932738,2.414213562373095
S2307,490,0.0,19163.492126695615,3822.741699796952,72.5269119345812,3.82842712474619
S2403,500,0.0,20604.10020770983,6589.39090375723,218.65180361560903,3.82842712474619
S3117,488,0.0,19427.153672641492,7763.696603029501,394.81832585697947,16.48528137423857
S3603,496,0.0,19273.285706997456,7020.054900681658,344.66399692442883,1.4142135623730951
