,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),total_images
Sum of 0<.L.<=1.000000,0.0,0.2534541687010738,0.6160780847046899,0.15818502237559537,-0.44430042768570477,0.14789100405937533
Sum of 1.0000000<.L.<=2.0000000,0.0,0.029604414619294875,0.5247970974075606,0.42956496138847894,-0.17515611574206247,-0.12177656188306127
Sum of 2.0000000<.L.<=3.0000000,0.0,-0.013699954883955145,0.32689690579862063,0.5039161165393621,-0.21449981702541243,0.026532936641869433
Sum of 3.0000000<.L.<=4.0000000,0.0,0.06849499909200404,0.29320144391258973,0.1690138354462025,-0.16701122140059926,0.15105568622384952
Sum of .L.>4.0000000,0.0,0.009015204794920108,0.11145656206153497,-0.20018382982390537,0.03915339671073438,-0.01113724296030666
Sum of .L.>0.0000000,0.0,0.21735965049664013,0.6248676471542118,0.23147212217358631,-0.41386156986567807,0.10496047440753607
