soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,504,0.0,20162.92358420069,4906.049491110276,64.79898987322332,0.0
C2003,504,0.0,16814.957205534323,600.080302527855,7.242640687119285,0.0
C2609,498,0.0,13510.927916959577,5532.318610456089,120.42640687119285,4.414213562373095
C2803,505,0.0,17687.455546769153,1497.510893481154,26.14213562373095,0.0
C5608,493,0.0,16382.286932486732,1982.5251788310268,51.2842712474619,1.0
C6405,490,0.0,16301.120410245361,2061.7800128269655,30.899494936611667,3.414213562373095
S1510,500,0.0,13426.605332682102,3007.364932712815,31.727922061357855,1.0
S1919,502,0.0,19939.385704446566,3952.4595205905434,68.79898987322333,3.414213562373095
S2307,490,0.0,14966.356774809323,1722.4297244015215,26.485281374238568,0.0
S2403,499,0.0,20202.940320529116,1950.8927111991738,14.485281374238571,0.0
S3117,488,0.0,14434.51492888648,3978.7122625454294,95.59797974644665,1.0
S3603,495,0.0,14361.699920559831,2241.828786062245,50.04163056034261,1.0
