Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_069.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_070.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_078.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_081.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_105.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_106.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_107.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_137.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_141.png
0.0,2.8284271247461903,0.0,0.0,0.0,S1510,S1510_153.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_257.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_260.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_263.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_270.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_275.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_297.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_298.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_309.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_310.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_320.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_321.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_322.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_323.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_329.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_330.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_333.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_346.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_347.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_376.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_377.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_382.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_383.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_428.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_429.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_430.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_442.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_474.png
