,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),total_images
Sum of 0<.L.<=1.000000,0.0,0.7939393939393938,0.6727272727272726,0.6363636363636362,0.0,-0.5859001137386332
Sum of 1.0000000<.L.<=2.0000000,0.0,0.3939393939393939,0.35757575757575755,0.38181818181818183,0.0,-0.5983660736054126
Sum of 2.0000000<.L.<=3.0000000,0.0,0.23636363636363633,-0.01818181818181818,-0.0303030303030303,0.0,-0.20568833780186058
Sum of 3.0000000<.L.<=4.0000000,0.0,0.32121212121212117,0.0303030303030303,0.006060606060606061,0.0,-0.09349469900084571
Sum of .L.>4.0000000,0.0,0.3943699921394939,0.43316048316960803,0.4848811378764269,0.0,-0.4188844601813636
Sum of .L.>0.0000000,0.0,0.6484848484848483,0.6242424242424242,0.5757575757575757,0.0,-0.610832033472192
