,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),total_images
Sum of 0<.L.<=1.000000,0.0,0.8014014708110554,0.7805932252337884,0.37578185726310265,0.13548831926507862,0.16661975205573726
Sum of 1.0000000<.L.<=2.0000000,0.0,0.6600288022275403,0.6167304374448349,0.5447438210732686,0.4683838644095145,-0.13076101130142787
Sum of 2.0000000<.L.<=3.0000000,0.0,0.36303043260296985,0.21106954183955995,0.34234995625353515,0.530061532069741,0.01626142346561597
Sum of 3.0000000<.L.<=4.0000000,0.0,0.29953496555058695,0.3485632140290808,0.11194340790534016,0.3863022231921013,0.18384771286397858
Sum of .L.>4.0000000,0.0,0.07534278871122405,0.32541150816594533,-0.10306174195416873,-0.10815714730379,0.04096010363611077
Sum of .L.>0.0000000,0.0,0.8053267443418727,0.7740335881638868,0.42607631572747096,0.22185190746773786,0.11892609400700961
