soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,108,0.0,19662.996385116112,7252.650788387053,254.92388155425118,4.82842712474619
C2003,98,0.0,12633.835421122903,5368.326619682802,280.06601717798213,2.8284271247461903
C2609,106,0.0,15680.734049507737,6330.2841225706825,208.61017305526642,0.0
C2803,108,0.0,14895.607065785656,5051.083978995682,226.0365799264593,41.698484809834994
C5608,109,0.0,14282.98469942157,4621.979289850188,170.0538238691624,6.414213562373095
C6405,110,0.0,15305.768537393145,4567.381310103741,169.12489168102786,6.65685424949238
S1510,105,0.0,12641.485132697457,5362.586504312624,372.7645019878171,6.242640687119285
S1919,107,0.0,17916.399271921444,8958.316010800758,478.747258045114,4.82842712474619
S2307,102,0.0,11954.12979363813,6997.886286399234,309.99494936611666,3.414213562373095
S2403,103,0.0,15865.283256018904,6714.5877298019,363.14927829866735,1.4142135623730951
S3117,109,0.0,15058.967455478865,6611.403963617825,438.8183258569795,10.242640687119286
S3603,109,0.0,13769.77863866091,5410.431308828296,122.63961030678928,1.4142135623730951
