soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,108,0.0,21648.350350009387,2558.610531992765,16.65685424949238,0.0
C2003,94,0.0,16825.680943513573,1521.4570696119918,7.82842712474619,0.0
C2609,106,0.0,26141.83548270684,906.1585130146568,0.0,0.0
C2803,108,0.0,17448.895372438445,242.24978336205572,0.0,0.0
C5608,105,0.0,21030.410450001702,544.8132752230961,0.0,0.0
C6405,109,0.0,18382.59890788216,316.77669529663694,0.0,0.0
S1510,105,0.0,20540.943279121948,2154.081528017131,1.0,0.0
S1919,105,0.0,30314.388873300115,5405.654613531659,26.31370849898476,0.0
S2307,102,0.0,25823.073939311857,2769.906996549046,10.414213562373096,0.0
S2403,101,0.0,30580.40020005716,3139.423807215861,24.970562748477143,0.0
S3117,106,0.0,20926.37300352347,432.7300141024109,0.0,0.0
S3603,106,0.0,20324.09464946167,728.5067093990478,0.0,0.0
