soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,127,0.0,180.2842712474619,4.242640687119286,0.0,0.0
C2003,174,0.0,287.42640687119285,0.0,0.0,0.0
C2609,131,0.0,215.91168824543144,2.8284271247461903,0.0,0.0
C2803,95,0.0,138.8700576850888,3.82842712474619,0.0,0.0
C5608,136,0.0,231.49747468305833,9.071067811865476,0.0,0.0
C6405,304,0.0,838.9188309203678,105.05382386916237,1.0,0.0
S1510,213,0.0,399.99494936611666,20.14213562373095,0.0,0.0
S1919,247,0.0,620.492424049175,56.42640687119287,0.0,0.0
S2307,247,0.0,530.237590053236,22.727922061357855,1.0,0.0
S2403,162,0.0,285.25483399593907,8.65685424949238,0.0,0.0
S3117,232,0.0,476.58073580374355,37.21320343559643,0.0,0.0
S3603,167,0.0,256.7401153701777,5.242640687119285,0.0,0.0
