soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,504,0.0,19274.756703021823,10523.613700846314,526.445742854949,13.899494936611665
C2003,504,0.0,13944.205045532104,7513.883327806405,415.88939366884495,0.0
C2609,498,0.0,14025.40605565888,9808.971998498471,680.1269837220809,16.31370849898476
C2803,507,0.0,15795.059951315543,8106.098623283054,542.7594513539339,9.071067811865476
C5608,496,0.0,13941.839605205008,8812.64191260856,486.9604614807105,29.38477631085024
C6405,490,0.0,14294.827411896189,8055.767670841366,411.56349186104046,10.65685424949238
S1510,500,0.0,10827.493141924173,7907.91485709898,825.193000900063,33.384776310850235
S1919,502,0.0,15423.591913884005,10150.175100666302,1025.2468247692254,22.899494936611667
S2307,490,0.0,11506.402738128552,7121.065001949425,601.9015869776647,10.65685424949238
S2403,500,0.0,13159.330803764908,9686.46947318153,1022.4894654563448,33.21320343559643
S3117,488,0.0,13458.337946439846,8244.968680968143,939.9797974644666,26.556349186104047
S3603,496,0.0,11786.541915159452,7903.500643536609,885.9797974644666,45.62741699796952
