soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,111,0.0,26424.51896429181,11132.483758531404,416.9482681718907,13.899494936611665
C2003,99,0.0,19834.92654279352,8047.527988747077,412.84776310850236,0.0
C2609,112,0.0,22679.757061959317,9438.497684943777,264.3086578651014,13.899494936611665
C2803,114,0.0,26508.907565747268,8734.377843896633,351.56349186104046,4.242640687119286
C5608,108,0.0,22738.075821092192,9059.868175904754,518.6051224213832,7.242640687119286
C6405,110,0.0,23012.230150024738,7857.839605205008,355.6639969244288,9.65685424949238
S1510,108,0.0,19310.138520739845,9372.485491634958,666.7300141024109,9.071067811865476
S1919,113,0.0,24535.231375514017,11199.395446776836,613.0731598529185,14.727922061357857
S2307,104,0.0,17307.886645336734,9651.990108992952,360.1076477383247,1.4142135623730951
S2403,109,0.0,22213.924450752467,9968.122143348915,487.13203435596427,5.82842712474619
S3117,110,0.0,22098.358000298602,10720.160815316429,886.7371567773473,13.727922061357855
S3603,110,0.0,23056.44544550139,9349.9577131486,407.47518010647184,6.82842712474619
