soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,109,0.0,15406.191985671507,8227.19407771256,510.6761902332485,4.242640687119286
C2003,93,0.0,10108.934700697015,6344.852665065606,356.3208511739212,1.4142135623730951
C2609,107,0.0,12250.933834145239,6929.258869401266,322.3086578651014,12.65685424949238
C2803,112,0.0,11794.446460729945,5410.838379715733,498.4873734152916,21.556349186104047
C5608,109,0.0,12106.652521490607,5117.302233065164,296.40916292848976,1.0
C6405,106,0.0,12394.032247167574,4916.4128393963165,275.35028842544403,1.0
S1510,105,0.0,10255.98138189124,5735.880010276075,473.53405460951757,0.0
S1919,107,0.0,14277.506560722268,10234.66038204054,683.6883835420683,4.414213562373095
S2307,102,0.0,9273.66053071732,6948.359374464654,309.1665222413705,3.414213562373095
S2403,104,0.0,12853.794657114337,6946.577628534133,495.3919189857867,0.0
S3117,107,0.0,12447.789606480455,7417.461971569095,488.3746750430836,7.414213562373095
S3603,107,0.0,11130.772362537751,6323.151221662941,243.8528137423857,0.0
