,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),total_images
Sum of 0<.L.<=1.000000,0.0,0.03889649811167197,0.0,0.0,0.0,0.16359838783647035
Sum of 1.0000000<.L.<=2.0000000,0.0,0.29121478624006564,0.0,0.0,0.0,0.3368361614884034
Sum of 2.0000000<.L.<=3.0000000,0.0,0.009727644664479994,0.0,0.0,0.0,-0.007767219251020785
Sum of 3.0000000<.L.<=4.0000000,0.0,-0.25592625903131194,0.0,0.0,0.0,-0.2203440277778249
Sum of .L.>4.0000000,0.0,-0.3226839328341339,0.0,0.0,0.0,-0.2761772216572998
Sum of .L.>0.0000000,0.0,0.08131114818061425,0.0,0.0,0.0,0.1932364257127976
