Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,16.071067811865476,2.8284271247461903,0.0,0.0,S1510,S1510_000.png
0.0,8.414213562373096,0.0,0.0,0.0,S1510,S1510_001.png
0.0,12.414213562373096,2.414213562373095,0.0,0.0,S1510,S1510_002.png
0.0,30.556349186104047,3.414213562373095,0.0,0.0,S1510,S1510_003.png
0.0,43.04163056034261,2.8284271247461903,0.0,0.0,S1510,S1510_004.png
0.0,26.727922061357855,3.414213562373095,0.0,0.0,S1510,S1510_005.png
0.0,34.31370849898476,7.65685424949238,0.0,0.0,S1510,S1510_006.png
0.0,42.21320343559643,0.0,0.0,0.0,S1510,S1510_007.png
0.0,53.62741699796952,9.071067811865476,0.0,0.0,S1510,S1510_008.png
0.0,29.31370849898476,14.485281374238571,0.0,0.0,S1510,S1510_009.png
0.0,37.55634918610404,1.4142135623730951,0.0,0.0,S1510,S1510_010.png
0.0,46.14213562373095,3.8284271247461903,0.0,0.0,S1510,S1510_011.png
0.0,24.48528137423857,7.65685424949238,0.0,0.0,S1510,S1510_012.png
0.0,17.65685424949238,0.0,0.0,0.0,S1510,S1510_013.png
0.0,20.31370849898476,2.414213562373095,0.0,0.0,S1510,S1510_014.png
0.0,12.242640687119286,0.0,0.0,0.0,S1510,S1510_015.png
0.0,21.899494936611664,1.0,0.0,0.0,S1510,S1510_016.png
0.0,19.31370849898476,0.0,0.0,0.0,S1510,S1510_017.png
0.0,23.65685424949238,9.242640687119284,0.0,0.0,S1510,S1510_018.png
0.0,30.727922061357855,3.414213562373095,0.0,0.0,S1510,S1510_019.png
0.0,74.698484809835,7.242640687119285,0.0,0.0,S1510,S1510_020.png
0.0,49.21320343559643,0.0,0.0,0.0,S1510,S1510_021.png
0.0,44.14213562373095,1.4142135623730951,0.0,0.0,S1510,S1510_022.png
0.0,38.31370849898476,7.656854249492381,0.0,0.0,S1510,S1510_023.png
0.0,17.82842712474619,0.0,0.0,0.0,S1510,S1510_024.png
0.0,14.65685424949238,1.4142135623730951,0.0,0.0,S1510,S1510_025.png
0.0,20.071067811865476,0.0,0.0,0.0,S1510,S1510_026.png
0.0,5.0,0.0,0.0,0.0,S1510,S1510_027.png
0.0,13.82842712474619,1.4142135623730951,0.0,0.0,S1510,S1510_028.png
0.0,25.899494936611667,0.0,0.0,0.0,S1510,S1510_029.png
0.0,22.65685424949238,9.65685424949238,0.0,0.0,S1510,S1510_030.png
0.0,26.65685424949238,0.0,0.0,0.0,S1510,S1510_031.png
0.0,38.14213562373095,13.485281374238571,0.0,0.0,S1510,S1510_032.png
0.0,36.55634918610404,1.0,0.0,0.0,S1510,S1510_033.png
0.0,29.556349186104047,4.414213562373095,0.0,0.0,S1510,S1510_034.png
0.0,45.384776310850235,5.242640687119285,0.0,0.0,S1510,S1510_035.png
0.0,27.65685424949238,1.4142135623730951,0.0,0.0,S1510,S1510_036.png
0.0,27.071067811865476,4.0,0.0,0.0,S1510,S1510_037.png
0.0,18.65685424949238,0.0,0.0,0.0,S1510,S1510_038.png
0.0,13.485281374238571,1.4142135623730951,0.0,0.0,S1510,S1510_039.png
0.0,27.071067811865476,10.65685424949238,0.0,0.0,S1510,S1510_040.png
0.0,48.04163056034262,2.8284271247461903,0.0,0.0,S1510,S1510_041.png
0.0,46.21320343559643,3.8284271247461903,0.0,0.0,S1510,S1510_042.png
0.0,43.79898987322333,9.242640687119284,0.0,0.0,S1510,S1510_043.png
0.0,49.45584412271571,6.242640687119285,0.0,0.0,S1510,S1510_044.png
0.0,31.31370849898476,0.0,0.0,0.0,S1510,S1510_045.png
0.0,29.14213562373095,10.071067811865476,0.0,0.0,S1510,S1510_046.png
0.0,28.071067811865476,11.071067811865476,0.0,0.0,S1510,S1510_047.png
0.0,20.48528137423857,6.82842712474619,0.0,0.0,S1510,S1510_048.png
0.0,18.65685424949238,0.0,0.0,0.0,S1510,S1510_049.png
0.0,37.72792206135786,0.0,0.0,0.0,S1510,S1510_050.png
0.0,18.071067811865476,0.0,0.0,0.0,S1510,S1510_051.png
0.0,38.79898987322333,16.31370849898476,0.0,0.0,S1510,S1510_052.png
0.0,38.14213562373095,15.727922061357855,0.0,0.0,S1510,S1510_053.png
0.0,26.727922061357855,13.485281374238571,0.0,0.0,S1510,S1510_054.png
0.0,21.899494936611664,10.65685424949238,0.0,0.0,S1510,S1510_055.png
0.0,36.31370849898476,9.242640687119284,0.0,0.0,S1510,S1510_056.png
0.0,24.899494936611667,9.65685424949238,0.0,0.0,S1510,S1510_057.png
0.0,28.071067811865476,14.48528137423857,0.0,0.0,S1510,S1510_058.png
0.0,27.071067811865476,15.313708498984763,0.0,0.0,S1510,S1510_059.png
0.0,26.727922061357855,10.485281374238571,0.0,0.0,S1510,S1510_060.png
0.0,19.071067811865476,2.8284271247461903,0.0,0.0,S1510,S1510_061.png
0.0,24.14213562373095,0.0,0.0,0.0,S1510,S1510_062.png
0.0,9.65685424949238,2.8284271247461903,0.0,0.0,S1510,S1510_063.png
0.0,25.556349186104047,6.242640687119285,0.0,0.0,S1510,S1510_064.png
0.0,16.48528137423857,6.82842712474619,0.0,0.0,S1510,S1510_065.png
0.0,8.82842712474619,5.0,0.0,0.0,S1510,S1510_066.png
0.0,23.485281374238568,0.0,0.0,0.0,S1510,S1510_067.png
0.0,41.79898987322333,1.0,0.0,0.0,S1510,S1510_068.png
0.0,32.31370849898476,2.414213562373095,0.0,0.0,S1510,S1510_069.png
0.0,52.112698372208094,7.242640687119285,0.0,0.0,S1510,S1510_070.png
0.0,35.55634918610404,9.242640687119284,0.0,0.0,S1510,S1510_071.png
0.0,9.414213562373096,8.65685424949238,0.0,0.0,S1510,S1510_072.png
0.0,20.48528137423857,0.0,0.0,0.0,S1510,S1510_073.png
0.0,13.071067811865476,0.0,0.0,0.0,S1510,S1510_074.png
0.0,11.414213562373096,0.0,0.0,0.0,S1510,S1510_075.png
0.0,18.65685424949238,4.0,0.0,0.0,S1510,S1510_076.png
0.0,18.48528137423857,2.414213562373095,0.0,0.0,S1510,S1510_077.png
0.0,27.14213562373095,0.0,0.0,0.0,S1510,S1510_078.png
0.0,28.727922061357855,0.0,0.0,0.0,S1510,S1510_079.png
0.0,46.384776310850235,3.0,0.0,0.0,S1510,S1510_080.png
0.0,33.14213562373095,6.242640687119286,0.0,0.0,S1510,S1510_081.png
0.0,33.55634918610404,0.0,0.0,0.0,S1510,S1510_082.png
0.0,33.55634918610404,2.0,0.0,0.0,S1510,S1510_083.png
0.0,18.071067811865476,1.4142135623730951,0.0,0.0,S1510,S1510_084.png
0.0,14.82842712474619,9.65685424949238,0.0,0.0,S1510,S1510_085.png
0.0,16.48528137423857,1.4142135623730951,0.0,0.0,S1510,S1510_086.png
0.0,4.414213562373095,0.0,0.0,0.0,S1510,S1510_087.png
0.0,36.97056274847714,0.0,0.0,0.0,S1510,S1510_088.png
0.0,22.242640687119284,17.313708498984763,0.0,0.0,S1510,S1510_089.png
0.0,29.14213562373095,27.14213562373095,0.0,0.0,S1510,S1510_090.png
0.0,28.31370849898476,11.071067811865476,0.0,0.0,S1510,S1510_091.png
0.0,24.65685424949238,27.798989873223334,0.0,0.0,S1510,S1510_092.png
0.0,23.48528137423857,10.65685424949238,0.0,0.0,S1510,S1510_093.png
0.0,30.899494936611664,7.65685424949238,0.0,0.0,S1510,S1510_094.png
0.0,33.31370849898476,10.65685424949238,0.0,0.0,S1510,S1510_095.png
0.0,16.65685424949238,1.4142135623730951,0.0,0.0,S1510,S1510_096.png
0.0,17.82842712474619,0.0,0.0,0.0,S1510,S1510_097.png
0.0,5.414213562373095,0.0,0.0,0.0,S1510,S1510_098.png
0.0,4.414213562373095,1.0,0.0,0.0,S1510,S1510_099.png
0.0,35.14213562373095,7.65685424949238,0.0,0.0,S1510,S1510_100.png
0.0,30.071067811865476,7.242640687119286,0.0,0.0,S1510,S1510_101.png
0.0,24.48528137423857,2.8284271247461903,0.0,0.0,S1510,S1510_102.png
0.0,26.899494936611667,0.0,0.0,0.0,S1510,S1510_103.png
0.0,27.48528137423857,10.242640687119284,0.0,0.0,S1510,S1510_104.png
0.0,32.31370849898476,7.82842712474619,0.0,0.0,S1510,S1510_105.png
0.0,39.384776310850235,1.0,0.0,0.0,S1510,S1510_106.png
